name,state,location,control,for_profit,religious_affiliation,degree_type,distance,historically_black,enrollment,founded_in,closed_merged_in,accreditation
Lutheran Theological Seminary at Gettysburg,Pennsylvania,Gettysburg(Adams County),Private,1,Evangelical Lutheran Church in America,Seminary,,,168,1852,2017,
Furman University,South Carolina,Greenville,Private,1,0,Baccalaureate College,,,2947,1852,,SACS
Elizabeth College,Virginia,Salem,x,x,Catholic,,,,,1852,1922,
Hanover College,Indiana,Hanover,Private,0,Presbyterian,Baccalaureate College,,,"1,123",1852,,"HLC, TCATE"
Lindenwood University,Missouri,St. Charles,Private,1,Presbyterian Church (USA),Masters University,,,"11,421",1852,,
Vermont Medical College,Vermont,Woodstock,Private,1,0,Specialized Focus: Medicine,,,,1852,1856,
Augusta University,Georgia,Augusta,Public,0,0,Doctoral University,,,"5,000",1852,,
McKendree University,Illinois,Lebanon,Private,1,Catholic,,,,,1853,,
State University of New York at New Paltz,New York,New Paltz,Public,0,Non-sectarian,,,,"9,229",1853,,
Johnson State College,Vermont,Johnson,Public,0,0,Baccalaureate College,,,,1853,2018,
Illinois College,Illinois,Jacksonville,Private,1,Christian,,,,,1853,,
Georgetown College,Kentucky,,Private,1,Christian,Baccalaureate College,,,,1853,,
Rochester Institute of Technology,New York,Rochester,Private,1,0,Doctoral University,,,"18,665",1853,,
Spring Hill College,Alabama,Mobile,Private,1,Catholic,Masters University,,,"1,290",1853,,SACS
"University of California, Irvine",California,Irvine,Public,0,Non-sectarian,Research University,,,"35,220",1853,,
"University of California, Santa Cruz",California,Santa Cruz,Public,0,Non-sectarian,Research University,,,"19,700",1853,,
"University of California, San Diego",California,San Diego,Public,0,Roman Catholic,Research University,,,"38,798",1853,,
Epic Bible College,California,Sacramento,Private,1,Chistian,Seminary,,,,1853,,
Berean Bible College,California,Poway,Private,1,Chistian,Seminary,,,,1853,,
Graduate Theological Union,California,Berkeley,Private,1,Non-sectarian,Seminary,,,,1853,,
Pacific Lutheran Theological Seminary,California,Berkeley,Private,1,"Evangelical Lutheran Church in America, California Lutheran University",Seminary,,,,1854,,
Fuller Theological Seminary,California,Pasadena,Private,1,Christian (multidenominational),Seminary,,,,1854,,
Western Seminary - Sacramento Campus,California,Sacramento,Private,1,Christian,Seminary,,,,1854,,
Western Seminary - San Jose Campus,California,Santa Clara,Private,1,Christian,Seminary,,,,1854,,
Life Pacific College,California,San Dimas,Private,1,International Church of the Foursquare Gospel,Seminary,,,,1854,,
University of North Alabama,Alabama,Florence,Public,0,0,Masters University,,,"7,702",1854,,SACS
Capital University,Ohio,Bexley,Private,0,0,Doctoral University,,,,1854,,
Los Angeles College of Music,California,Pasadena,Private,1,Secular,Special Focus: Art,,,,1854,,
The Culinary Institute of America at Greystone,California,St. Helena,Private,1,Christian,Special Focus: Culinary,,,,1854,,
California Health Sciences University,California,Clovis,Private,1,Seventh Day Adventist,Special Focus: Medical,,,,1854,,
Gurnick Academy,California,"San Mateo, California",Private,1,Non-sectarian,Special Focus: Medical,,,,1854,,
Touro University California,California,Vallejo,Private,1,Judaism,Special Focus: Medical,,,18000,1854,,
Southern California Institute of Architecture,California,Los Angeles,Private,0,Non-sectarian,Specialized Focus: Architecture,,,,1854,,
San Francisco Institute of Architecture,California,Berkeley,x,x,Non-sectarian,Specialized Focus: Architecture,,,,1854,,
New York Film Academy,California,Los Angeles,Private,1,Non-sectarian,Specialized Focus: Art,,,,1854,,
NewSchool of Architecture and Design,California,San Diego,Private,1,Laureate International Universities,Specialized Focus: Art,,,,1854,,
Design Institute of San Diego,California,San Diego,Private,1,Non-sectarian,Specialized Focus: Art,,,,1854,,
Fashion Institute of Design & Merchandising,California,Los Angeles,Private,1,Non-sectarian,Specialized Focus: Art,,,,1854,,
California Institute of the Arts,California,Valencia,Private,1,Non-sectarian,Specialized Focus: Art,,,,1854,,
Laguna College of Art and Design,California,Laguna Beach,Private,1,Non-sectarian,Specialized Focus: Art,,,,1854,,
ArtCenter College of Design,California,Pasadena,Private,1,Christian,Specialized Focus: Art,,,,1854,,
Academy of Art University,California,San Francisco,Private,1,Christian,Specialized Focus: Art,,,,1855,,
Trinity Lutheran Seminary,Ohio,Columbus,Private,0,Lutherean,Seminary,,,,1855,2018,
Lutheran Theological Southern Seminary of Lenoir-Rhyne University,South Carolina,Columbia,Private,1,Lutheran,Seminary,,,164,1855,,ATS
The Minerva Project,California,San Francisco,Private,0,Non-sectarian,Specialized Focus: Business,,,,1855,,
Northwestern Polytechnic University,California,Fremont,Private,1,Non-sectarian,Specialized Focus: Business,,,,1855,,
Southern States University,California,San Diego,Private,1,Non-sectarian,Specialized Focus: Business,,,,1855,,
California University of Management and Technology,California,San Jose,Private,1,Non-sectarian,Specialized Focus: Business & Technology,,,,1855,,
Frederick S. Pardee RAND Graduate School,California,Santa Monica,Private,1,Non-sectarian,Specialized Focus: Graduate Studies,,,,1855,,
Anaheim University,California,Anaheim,x,x,Non-sectarian,Specialized Focus: Graduate Studies,1,,,1855,,
California South Bay University,California,Sunnyvale,Public,1,Roman Catholic Church,Specialized Focus: Graudate Studies,,,,1855,,
California Southern Law School,California,Riverside,Private,1,Non-sectarian,Specialized Focus: Law,,,,1855,2020,
Southwestern Law School,California,Los Angeles,Private,1,Non-sectarian,Specialized Focus: Law,,,,1855,,
Southwestern Law School,California,Clovis,Private,1,Non-sectarian,Specialized Focus: Law,,,,1855,,
San Joaquin College of Law,California,Inglewood,Private,1,Non-sectarian,Specialized Focus: Law,,,,1855,,
Western State College of Law,California,Fullerton,Private,1,Westcliff University,Specialized Focus: Law,,,,1855,,
"University of Northern California, Lorenzo Patiño School of Law - ",California,Sacramento,x,x,Non-sectarian,Specialized Focus: Law,,,,1855,x,
San Diego University for Integrative Studies,California,San Diego,Public,0,Roman Catholic Church,Specialized Focus: Medicine,,,,1856,,
Emperor's College of Traditional Oriental Medicine,California,Santa Monica,Private,0,Non-sectarian,Specialized Focus: Medicine,,,,1856,,
Palmer College of Chiropractic,California,San Jose,Private,1,Non-sectarian,Specialized Focus: Medicine,,,,1856,,
California College San Diego,California,San Diego,Private,1,Roman Catholic   ,Specialized Focus: Medicine,,,,1856,,
Western University of Health Sciences,California,Pomona,Private,1,Non-sectarian,Specialized Focus: Medicine,,,,1856,,
Pacifica Graduate Institute,California,Santa Barbara,Private,1,Non-sectarian,Specialized Focus: Medicine,,,,1856,,
Palo Alto University,California,Palo Alto,Private,1,Non-sectarian,Specialized Focus: Medicine,,,,1856,,
Charles R. Drew University of Medicine and Science,California,Willowbrook,Private,1,HBCU,Specialized Focus: Medicine,,,,1856,,
Randolph-Macon College,Virginia,Ashland,Private,1,0,Baccalaureate College,,,"1,488",1856,,SACS
University of Richmond,Virginia,Richmond,Private,0,0,Baccalaureate College,,,"4,002",1856,,SACS
Saybrook University,California,Oakland,x,x,Non-sectarian,Specialized Focus: Medicine,,,,1856,,
Make School,California,San Francisco,Private,1,Roman Catholic,Specialized Focus: Software Engineering,,,,1856,,
Windsor University,California,Los Angeles,Public,1,Catholic,,,,,1856,1982,
Colorado Heights University,Colorado,Denver,Private,1,Jesuit Catholic,Baccalaureate College,,,,1856,x,
Naropa University,Colorado,Boulder,Private,1,Buddhist,Baccalaureate College,,,953,1857,,
CollegeAmerica,Colorado,"Fort Collins, Denver, Colorado Springs",Private,1,Non-sectarian,Baccalaureate College,,,123,1857,,
United States Air Force Academy,Colorado,Colorado Springs,Public,0,Secular,Baccalaureate College,,,"4,336",1857,,
University of Alabama,Alabama,Tuscaloosa,Public,0,0,Doctoral University,,,"38,100",1857,,SACS
Wesleyan University,Connecticut,Middletown,Private,1,Methodist,Baccalaureate College,,,"3,206",1857,,
William Howard Taft University,Colorado,Denver,Private,1,Unitarianism,Doctoral University,,,,1857,,
Colorado Technical University,Colorado,"Aurora, Colorado Springs",Private,1,Non-sectarian,Doctoral University,,,"26,184",1857,,
Colorado Mesa University,Colorado,Grand Junction,Public,0,0,Doctoral University,,,"9,492",1857,,
Westbrook College,Maine,Portland,x,x,0,Seminary,,,,1857,1996,
New York University,New York,New York,Public,0,0,Doctoral University,,,"57,245",1857,,
Denison University,Ohio,Granville,Private,1,0,Baccalaureate College,,,,1857,,
Xavier University,Ohio,Cincinnati,Private,0,0,Masters University,,,,1857,,
Vermont College of Fine Arts,Vermont,Montpelier,Private,1,0,Special Focus: Art,,,,1857,,
Wabash College,Indiana,Crawfordsville,Private,0,Non-sectarian,Baccalaureate College,,,906,1857,,"HLC, TCATE"
Mount Hope College,Maryland,Baltimore,x,x,Christian,,,,,1857,1844,
Gettysburg College,Pennsylvania,Gettysburg (Adams County),Private,1,Evangelical Lutheran Church in America,x,,,"2,485",1858,,
Saint Charles Borromeo Seminary,Pennsylvania,Radnor Township(Delaware County),Private,1,Roman Catholic Church,Seminary,,,243,1858,,
Hartford Seminary,Connecticut,Hartford,Private,1,0,Seminary,,,138,1858,,
University of Delaware,Delaware,Newark,Public,0,0,Doctoral University,,,"23,009",1858,,
Jones International University,Colorado,Centennial,Private,1,Non-sectarian,Masters University,,,,1858,x,
Metropolitan State University of Denver,Colorado,Denver,Public,0,Non-sectarian,Masters University,,,"20,192",1858,,
Rocky Mountain College of Art + Design,Colorado,Denver,Private,1,Jewish,Masters University,,,"1,054",1858,,
National American University,Colorado,"Centennial, Colorado Springs, Denver",Private,1,Methodist,Masters University,,,146,1858,,
DeVry University,Colorado,"Colorado Springs, Denver, Westminster",Private,1,0,Masters University,,,"17,364",1858,,
Kalamazoo College,Michigan,Kalamazoo,Private,0,Christian,Baccalaureate College,,,"1,443",1858,,HLC
Stephens College,Missouri,Columbia,Private,1,Non-sectarian,Baccalaureate College,,,"1,000",1858,,
Oberlin College,Ohio,Oberlin,Private,1,0,Baccalaureate College,,,,1858,,
Haverford College,Pennsylvania,Haverford Township(Delaware County),Private,1,Secular (formerly Orthodox Quaker),x,,,"1,177",1858,,
University of the Ozarks,Arkansas,Clarksville,Private,0,Christian,Baccalaureate College,,,585,1859,,
Nazarene Bible College,Colorado,Colorado Springs,Private,1,Nazarene ,Seminary,,,731,1859,,
Three Rivers Community College,Connecticut,Norwich,Public,0,Secular,Associates College,,,"4,245",1859,,
Gateway Community College,Connecticut,New Haven,Public,0,Secular,Associates College,,,"7,217",1859,,
Capital Community College,Connecticut,Hartford,Public,0,Christian,Associates College,,,"3,302",1859,,
Tunxis Community College,Connecticut,Farmington,Public,0,Secular,Associates College,,,"3,767",1859,,
Quinebaug Valley Community College,Connecticut,Danielson,Public,0,Secular,Associates College,,,"1,559",1859,,
Asnuntuck Community College,Connecticut,ENon-sectarianield,Public,0,Non-sectarian,Associates College,,,"1,945",1859,,
Housatonic Community College,Connecticut,Bridgeport,Public,1,Non-sectarian,Associates College,,,"5,143",1859,,
Middlesex Community College,Connecticut,Middletown,Public,0,Non-sectarian,Associates College,,,"2,733",1859,,
Northwestern Connecticut Community College,Connecticut,Winsted,Public,0,Non-sectarian,Associates College,,,"1,406",1859,,
Manchester Community College,Connecticut,Manchester,Public,0,0,Associates College,,,"6,780",1860,,
Naugatuck Valley Community College,Connecticut,Waterbury,Public,1,Secular,Associates College,,,"6,651",1860,,
Norwalk Community College,Connecticut,Norwalk,Public,0,Norwalk Community College,Associates College,,,"5,800",1860,,
Charter Oak State College,Connecticut,New Britain,Public,0,Non-sectarian,Baccalaureate College,,,"1,583",1860,,
Lincoln College of New England,Connecticut,Southington,Private,0,Non-sectarian,Baccalaureate College,,,,1860,2018,
Annhurst College,Connecticut,South Woodstock,Private,1,Catholic,Baccalaureate College,,,,1860,1980,
Mitchell College,Connecticut,New London,Private,1,Non-sectarian,Baccalaureate College,,,677,1860,,
Franklin College,Indiana,Franklin,Private,0,Baptist Christian,Baccalaureate College,,,"1,053",1860,,"HLC, TCATE"
Tulane University - New Orleans,Louisiana,,Private,0,0,Doctoral University,,,,1860,,
Upstate Medical University,New York,Syracuse,Public,0,0,Specialized Focus: Medicine,,,"1,583",1860,,
Upstate Medical University,New York,Syracuse,Public,1,Secularism,,,,"1,588",1860,,
Wake Forest University,North Carolina,Winston-Salem,Private,1,0,Doctoral University,,,"8,401",1860,,
Green Mountain College,Vermont,Poultney,Private,1,Methodist,Baccalaureate College,,,,1860,2019,
University of West Alabama,Alabama,Livingston,Public,0,0,Masters University,,,"5,653",1861,,SACS
Sacred Heart University,Connecticut,Fairfield,Private,1,Catholic,Masters University,,,"8,532",1861,,
Fairfield University,Connecticut,Fairfield,Private,1,Catholic,Masters University,,,"5,137",1861,,
University of Saint Joseph,Connecticut,West Hartford,Private,1,Catholic,Masters University,,,"2,467",1861,,
Quinnipiac University,Connecticut,Hamden,Private,1,0,Masters University,,,"9,960",1861,,
University of Bridgeport,Connecticut,Bridgeport,Private,1,0,Masters University,,,"5,658",1861,,
Albertus Magnus College,Connecticut,New Haven,Private,1,Catholic,Masters University,,,"1,555",1861,,
Albion College,Michigan,Albion,Private,1,Christian,Baccalaureate College,,,"1,418",1862,,"HLC, NASM, TCATE"
SUNY College at Brockport,New York,Brockport,Public,0,Roman Catholic,Baccalaureate College,,,"9,335",1862,,
Marietta College,Ohio,Marietta,Private,1,0,Baccalaureate College,,,,1862,,
Alfred University,New York,Alfred,x,x,0,Masters University,,,"2,617",1862,,
Union Theological Seminary in the City of New York,New York,New York,Private,1,Catholic,Seminary,,,239,1862,,
Emory and Henry College,Virginia,Emory,Private,1,Methodist,Baccalaureate College,,,"1,246",1863,,SACS
Bais Binyomin Academy,Connecticut,Stamford,Private,1,Orthodox Jewish,Seminary,,,,1863,2016,
Saint Alphonsus College,Connecticut,Suffield,Private,1,Catholic,Seminary,,,,1863,1990,
Seat of Wisdom College,Connecticut,Litchfield,Private,1,Catholic,Seminary,,,,1863,1967,
College of Notre Dame,Connecticut,Wilton,Private,1,Catholic,Seminary,,,,1863,1972,
Holy Apostles College and Seminary,Connecticut,Cromwell,Private,1,Catholic,Seminary,,,464,1863,,
Mount Sacred Heart College,Connecticut,Hamden,Private,1,Catholic,Seminary,,,,1863,1997,
Longview College,Connecticut,ENon-sectarianield,Private,1,Catholic,Seminary,,,,1863,1972,
St. Basil College Seminary,Connecticut,Stamford,Private,1,Ukrainian Catholic,Seminary,,,,1864,2009,
